"IUCN","IUCN Category","SPEC","Species","COU","Country","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"THREATENED","Total number of threatened species","MAMMAL","Mammals","EST","Estonia","NBR","Number","0","Units",,,3,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","EST","Estonia","NBR","Number","0","Units",,,1,,
"TOT_KNOWN_IND","Total number of indigenous known species","MAMMAL","Mammals","ISR","Israel","NBR","Number","0","Units",,,105,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","ISR","Israel","NBR","Number","0","Units",,,27,,
"CRITICAL_IND","Number of critically endangered indigenous species","MAMMAL","Mammals","ISR","Israel","NBR","Number","0","Units",,,15,,
"VULNERABLE_IND","Number of vulnerable indigenous species","MAMMAL","Mammals","ISR","Israel","NBR","Number","0","Units",,,19,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","RUS","Russia","NBR","Number","0","Units",,,34,,
"TOT_KNOWN","Total number of known species","MAMMAL","Mammals","SVN","Slovenia","NBR","Number","0","Units",,,89,,
"ENDANGERED","Number of endangered species","MAMMAL","Mammals","SVN","Slovenia","NBR","Number","0","Units",,,19,,
"VULNERABLE","Number of vulnerable species","MAMMAL","Mammals","SVN","Slovenia","NBR","Number","0","Units",,,15,,
"THREATENED","Total number of threatened species","MAMMAL","Mammals","SVN","Slovenia","NBR","Number","0","Units",,,34,,
"ENDANGERED_IND","Number of endangered indigenous species","MAMMAL","Mammals","SVN","Slovenia","NBR","Number","0","Units",,,19,,
